#k-distance eigenvalue[eV]
0.10448686 -105.63190000
0.13060858 -105.63200000
0.15673028 -105.63200000
0.18285201 -105.63200000
0.20897371 -105.63210000
0.23509543 -105.63210000
0.26121714 -105.63220000
0.28733886 -105.63220000
0.31346057 -105.63230000
0.33958229 -105.63240000
0.36570400 -105.63240000
0.39182572 -105.63250000
0.41794742 -105.63260000
0.44406915 -105.63270000
0.47019085 -105.63280000
0.49631257 -105.63290000
0.52243428 -105.63300000
0.54855600 -105.63310000
0.57467771 -105.63320000
0.60079943 -105.63330000
0.62692113 -105.63340000
0.65304286 -105.63350000
0.67916456 -105.63360000
0.70528629 -105.63370000
0.73140799 -105.63380000
0.75752971 -105.63400000
0.78365142 -105.63410000
0.80977314 -105.63420000
0.83589485 -105.63410000
0.86201657 -105.63400000
0.88813829 -105.63400000
0.91426000 -105.63400000
0.94038172 -105.63400000
0.96650342 -105.63400000
0.99262515 -105.63400000
1.01874685 -105.63400000
1.04486857 -105.63400000
1.07099028 -105.63400000
1.09711200 -105.63400000
1.12323371 -105.63400000
1.14935543 -105.63400000
1.17547714 -105.63390000
1.20159886 -105.63390000
1.22772056 -105.63390000
1.25384229 -105.63390000
1.27996399 -105.63390000
1.30608571 -105.63390000
1.33220742 -105.63390000
1.35832914 -105.63390000
1.38445085 -105.63390000
1.41057257 -105.63380000
1.43669428 -105.63380000
1.46281600 -105.63380000
1.48893770 -105.63380000
1.51505943 -105.63380000
1.54118113 -105.63380000
1.56730285 -105.63380000
1.59342456 -105.63380000
1.61954628 -105.63380000
1.64566799 -105.63380000
1.67178971 -105.63380000
1.69791141 -105.63380000
1.72403314 -105.63380000
1.74997092 -105.63380000
1.77590870 -105.63380000
1.80184646 -105.63380000
1.82778424 -105.63380000
1.85372202 -105.63390000
1.87965981 -105.63390000
1.90559759 -105.63390000
1.93153535 -105.63400000
1.95747313 -105.63400000
1.98341091 -105.63410000
2.00934869 -105.63420000
2.03528645 -105.63410000
2.06122423 -105.63400000
2.08716202 -105.63400000
2.11309980 -105.63390000
2.13903758 -105.63380000
2.16497534 -105.63380000
2.19091312 -105.63370000
2.21685090 -105.63360000
2.24278869 -105.63350000
2.26872647 -105.63340000
2.29466423 -105.63330000
2.32060201 -105.63320000
2.34653979 -105.63320000
2.37247757 -105.63310000
2.39841533 -105.63300000
2.42435311 -105.63290000
2.45029089 -105.63280000
2.47622868 -105.63270000
2.50216646 -105.63270000
2.52810422 -105.63260000
2.55404200 -105.63250000
2.57997978 -105.63240000
2.60591756 -105.63240000
2.63185535 -105.63230000
2.65779310 -105.63220000
2.68373089 -105.63220000
2.70966867 -105.63210000
2.73560645 -105.63210000
2.76154421 -105.63200000
2.78748199 -105.63200000
2.81341977 -105.63200000
2.83935756 -105.63190000
2.86529534 -105.63190000
2.89123310 -105.63190000
2.91717088 -105.63190000
2.94310866 -105.63190000
2.97229965 -105.63190000
3.00149064 -105.63190000
3.03068163 -105.63190000
3.05987261 -105.63190000
3.08906360 -105.63190000
3.11825459 -105.63190000
3.14744558 -105.63190000
3.17663656 -105.63190000
3.20582755 -105.63190000
3.23501854 -105.63190000
3.26420953 -105.63190000
3.29033125 -105.63190000
3.31645296 -105.63190000
3.34257468 -105.63190000
3.36869638 -105.63190000
3.39481811 -105.63200000
3.42093981 -105.63200000
3.44706153 -105.63200000
3.47318324 -105.63210000
3.49930496 -105.63210000
3.52542667 -105.63220000
3.55154839 -105.63220000
3.57767010 -105.63230000
3.60379182 -105.63240000
3.62991352 -105.63250000
3.65603525 -105.63250000
3.68215695 -105.63260000
3.70827867 -105.63270000
3.73440038 -105.63280000
3.76052210 -105.63290000
3.78664381 -105.63300000
3.81276553 -105.63310000
3.83888724 -105.63320000
3.86500896 -105.63330000
3.89113066 -105.63340000
3.91725239 -105.63350000
3.94337409 -105.63360000
3.96949581 -105.63370000
3.99561752 -105.63380000
4.02173924 -105.63400000
4.04786095 -105.63410000
4.07398267 -105.63420000
4.10010437 -105.63410000
4.12622610 -105.63400000
4.15234782 -105.63400000
4.17846953 -105.63400000
4.20459125 -105.63400000
4.23071295 -105.63400000
4.25683468 -105.63400000
4.28295638 -105.63400000
4.30907810 -105.63400000
4.33519981 -105.63400000
4.36132153 -105.63400000
4.38744324 -105.63400000
4.41356496 -105.63400000
4.43968666 -105.63390000
4.46580839 -105.63390000
4.49193009 -105.63390000
4.51805181 -105.63390000
4.54417352 -105.63390000
4.57029524 -105.63390000
4.59641695 -105.63390000
4.62253867 -105.63390000
4.64866038 -105.63380000
4.67478210 -105.63380000
4.70090380 -105.63380000
4.72702553 -105.63380000
4.75314723 -105.63380000
4.77926895 -105.63380000
4.80539066 -105.63380000
4.83151238 -105.63380000
4.85763409 -105.63380000
4.88375581 -105.63380000
4.90987752 -105.63380000
4.93599924 -105.63380000
4.96212094 -105.63380000
4.98824267 -105.63380000
5.01418045 -105.63380000
5.04011823 -105.63380000
