#k-distance eigenvalue[eV]
2.48226710 -18.52300000
2.50835846 -18.52450000
2.53444983 -18.52590000
2.56054118 -18.52720000
2.58663255 -18.52840000
2.61272391 -18.52960000
2.63881528 -18.53050000
2.66490665 -18.53110000
2.69099801 -18.53160000
2.71708938 -18.53190000
2.74318075 -18.53180000
2.77053016 -18.53280000
2.79787956 -18.53530000
2.82522898 -18.53940000
2.85257840 -18.54500000
2.87992780 -18.55230000
2.90727721 -18.56120000
2.93462663 -18.57160000
2.96197605 -18.58350000
2.98932544 -18.59690000
3.01667486 -18.61170000
3.04402428 -18.62800000
3.07137367 -18.64550000
3.09872309 -18.66430000
3.12607251 -18.68430000
3.15342193 -18.70530000
3.18077132 -18.72720000
3.20812074 -18.74990000
3.23547016 -18.77340000
3.26281955 -18.79730000
3.29016897 -18.82170000
3.29016897 -18.82170000
3.31646710 -18.84550000
3.34276525 -18.86940000
3.36906338 -18.89320000
3.39536153 -18.91680000
3.42165966 -18.94020000
3.44795781 -18.96320000
3.47425594 -18.98550000
3.50055409 -18.97170000
3.52685222 -18.95390000
3.55315038 -18.93750000
3.57944850 -18.92250000
3.60574666 -18.90900000
3.63204478 -18.89680000
3.65834294 -18.88600000
3.68464107 -18.87660000
3.71093922 -18.86850000
3.73723735 -18.86160000
3.76353550 -18.85590000
3.78983363 -18.85130000
3.81613178 -18.84780000
3.84242991 -18.84540000
3.86872806 -18.84390000
3.89502619 -18.84350000
3.92136842 -18.84060000
3.94771064 -18.83250000
3.97405287 -18.82000000
4.00039509 -18.80420000
4.02673731 -18.78610000
4.05307954 -18.76670000
4.07942177 -18.74660000
4.10576400 -18.72630000
4.13210622 -18.70610000
4.15844845 -18.68620000
4.18479067 -18.66700000
4.21113289 -18.64850000
4.23747512 -18.63090000
4.26381735 -18.61420000
4.29015958 -18.59850000
4.31650181 -18.58380000
4.34284402 -18.57030000
4.36918625 -18.55790000
4.39552848 -18.54670000
4.42187070 -18.53680000
4.44821293 -18.52810000
4.47455516 -18.52070000
4.50089739 -18.51460000
4.52723960 -18.50980000
4.55358183 -18.50640000
4.57992406 -18.50440000
4.60626628 -18.50370000
4.60626628 -18.86790000
4.63235025 -18.86520000
4.65843422 -18.85770000
4.68451819 -18.84620000
4.71060216 -18.83180000
4.73668613 -18.81550000
4.76277010 -18.79810000
4.78885407 -18.78000000
4.81493805 -18.76160000
